Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840144162350288896;Bundesliga;https://sleeper.app/i/LdPbYDqzMaeE;Elp11;Wotan;owen23;Vojmaran;ThePinkPunter;DeeWee;Isarcowboy;Fif;maex;General85;Erdl;Catwalker;;;;
840144259955937280;2. Bundesliga Div. I;https://sleeper.app/i/z25w0JaxzAg6;Patsche;Elmo1606;paetjer;Ailton32;Chesali;Rudzor;JH2599;robinhu97;KaiE;Luke_FFT;E1sB43r;Evilsoul;;;;
840144346530578432;2. Bundesliga Div. II;https://sleeper.app/i/0qKR6mwGOz3V;Zwen;ZlatkoDrees;Beni45;Duelp;Koro;MamaBearDown;Hippolyt;CardinalMiro;greend3vil;phaeseli;Stangolf;Strobinho;;;;
840144427635814400;2. Bundesliga Div. III;https://sleeper.app/i/YdEXYkEQAdX4;EinJuppie;noubhero;JimmyTschanga;BeastMode3;Chriswi94;PapaHans;Torbster;MarkoP;T1M0;BeardUrlacher;paulfaehse;Quarterbaker;;;;
840144511308017664;2. Bundesliga Div. IV;https://sleeper.app/i/EdYb1EOE2eOL;denninho;elFilipo;LastRodeo1979;MaSte;GeoWa;L28K01;DL21;frankmartin;kaiafas;zwiebelmeister;lisalisa96;LukeBowlwalker;;;;
840144636835110912;AFFC ConfL I;https://sleeper.app/i/kLAGlBkP1L8G;protthaus;Anomys;skaal85;jeble;ClevelandJan;haenelinho49;FritzBrause;JeanPaul87;lUqA98;jpshh;Rumpel32;Choupo;;;;
840144751293497344;AFFC ConfL II;https://sleeper.app/i/YdEXbBJMKY9N;LionsPride90;krlpfg;Ralle0205;Flosch49;Dommy79;joba89;danielson289;BillSuperstar;ulle;Gazzo158;Harokrus;KPenning;;;;
840144817085317120;AFFC ConfL III;https://sleeper.app/i/EdYbMbn7gBZw;Michbert;Axelinoo;veiti;Flockodrom;mjott;TobiD92;DoPa1409;captainfumble;n0lski;AlrikvonKirla;TillyG;Baywarriors;;;;
840144873796521984;AFFC ConfL IV;https://sleeper.app/i/Qdkw56WXDDoN;briegera;Bolle125;sgianfer;mp13;chrishenry14;RonBurgundyFFM;icon92;BetzeSteff;MrCrabs90;aristocat;d4ddyOnToUr;Voelkerball;;;;
840144931136831488;AFFC ConfL V;https://sleeper.app/i/YdEXPNj0O27O;Caedes;Kalex;Smugi;webinho;Felix713;osmodia;Hasenheckel;aszu;Schnixen;Scotty31;nicoboe;Real39;;;;
840144988925984768;AFFC ConfL VI;https://sleeper.app/i/m4OEk5bwjQnG;foofighter030;angel2333;Spencer91;marchs8966;schwoba49ers;RedandWhite;slightlyOverthrown;Burn13;Paul96Berlin;channellarge;RandyCorner;maximov;;;;
840145040507527168;AFFC ConfL VII;https://sleeper.app/i/m4OEkOwVVJR3;49erflo;Maikinho17;CK03;Toddo;Lvkas;ylrahcad;BrunoKoslovski82;Pinninger;HansPeterOrding;robnohood;dayspring612;KaffeeBohne;;;;
840145112787959808;AFFC ConfL VIII;https://sleeper.app/i/LdPbXoRGe23X;JonasDE;Strumpel;nilsh;VfB97;SteelMS;Baatmaan;seabear90;GoPanthers;AssindiaPackers;NinersHenning;TommyTurnup;BuggyThePirate;;;;
863582803143553024;AFFC ConfL IX;https://sleeper.app/i/m2JG5XPjwgBG;WenDan1;JohnnyF99;mazienho;BlokeBortles;Chikarmy;koopfi;ccaram;Ananasbob;Intuition22;andreasm82;FritzWalter8;dysph0r;;;;
863582889596567552;AFFC ConfL X;https://sleeper.app/i/LeJO3xkYkqXX;EinBaby;Bierkules;Hckster;Browller;chrislein23;flohe;fabser1494;philo2011;Duisburg;Go4Hawks;brunzky;tremonia90;;;;
840145213333843968;CFFC ConfL I;https://sleeper.app/i/m4OEwNEGXBbY;Janek;Suppenkasper;DerTobiasB;AlessandroS;Traesher;Sxhnipster;Boosty;gruenespack;gutti89;gr0nkless;Steveegeee;Rickeert;;;;
840145272670633984;CFFC ConfL II;https://sleeper.app/i/Qdkw6z5keA03;Georgius;GurleyRams91;ToniTorpedo;Heavy2beat;KIINIIM0D;elPresidente583;FaBuuu;derMichi;Mafra99;DeAndreLange;as2;RobH5;;;;
840145326110273536;CFFC ConfL III;https://sleeper.app/i/z25wBlGmM0kO;marvinmichel;Smitty87;Cland;ZenkAir;TheRealErich;RicoJ4491;madler;Nilientes;JKP17;Ruediralala;Ramsbock;Calo47;;;;
840145387204493312;CFFC ConfL IV;https://sleeper.app/i/kLAGwXgPJWbG;MRsplinterSELL;LangesBrot;D4luRox;Felizzo;Lumpi;Wegas;sgotsch;dampflokdennis;Ringler13;Hyperlurch;miiingapats;Shelloni;;;;
840145458239225856;CFFC ConfL V;https://sleeper.app/i/kLAGPGq2oAM7;AndyHH;swaly92;MameBln;AVCaptain;perverserperser;DrJ03;Essal91;benny2107;SalouMSV;PitterLR;Giskard;marchisio44;;;;
840145510403784704;CFFC ConfL VI;https://sleeper.app/i/jPGoBwmYxnAx;lacho;holapaco;cimbo;Mar8Te3;MCDohmen;moh0815;Rabkit;Deefonzo;seahulk81;betonmicha;renoir;L31F;;;;
840145572152315904;CFFC ConfL VII;https://sleeper.app/i/jPGoB2DNmmO2;Baltimore09;Stubbi78;TT86;xlnz;rh1no87;Tsa;michi7373;Fumelov;lambeaumoon;raph27;tobias182;mikkelsenn;;;;
840145633418518528;CFFC ConfL VIII;https://sleeper.app/i/VdwozlPMPEQZ;WiNTeRNaM;ToniBeige;Swissballer;Willowbottom;halbpension;Eurocop;benninem;SanBuer49ers;Minitron23;Kevklotz;YAste;nwe4;;;;
863583012418326528;CFFC ConfL IX;https://sleeper.app/i/VNlGl7bEREJe;Larriii;ndlsswntr;ElWray;MartaMunkel;bigfudge59;LarsF2410;mxbrndng;Lostprophet86;Thor1919;dominat0r;LukeHammerhand;GrinZz;;;;
863583095595618304;CFFC ConfL X;https://sleeper.app/i/jE1X1k36oE9w;OhBE;Johannes23;GoBirds529;Pitti83;RGR31;JoposJobbers;Madrax111;Larry_Fisherman;Pelle0391;Brady1899;muck999;sers185;;;;
840221835697192960;AFFC DivL I;https://sleeper.app/i/JXDVgxjdLYGm;-dabo-;MaxHH2019;JukeboxFabi;stefanbrady;SG7;ritratto;Nico1709;Pip33;LasseTheGM;OGScholz;ironmaik92;sunshinemindberry;;;;
840221893314334720;AFFC DivL II;https://sleeper.app/i/EdYVw291PJd4;MalteZ;DrBanane;bastifantasti;Romadinho;Xarlos48;elcapitan2014;Pumbaaa;ck207;KingBoedi;muh;Danny41;NicDavid;;;;
840221951602589696;AFFC DivL III;https://sleeper.app/i/LdPYm5w5kGGb;FRunner08;MulaC;Bronkochef;Stahlarbeiter;Camvp15;Snowman1989;LennartR97;gohdevil;leg4on;korkenzieher;floousen;Sczepsi99;;;;
840222012990427136;AFFC DivL IV;https://sleeper.app/i/z2506nEReOx6;DocMagic;ucancallmebj;Chris3003;darahan;stien;Saints9510;WieselZap;cornu;tofu_ne;schlagge;pe85;Flycardinalsfly;;;;
840222080745189376;AFFC DivL V;https://sleeper.app/i/0qK6DR9DwgZa;PackermanGER;Matzeo;Cicero2;IngeMeysel;Snakepit82;Trollstigen;MaikKrue;Sic58;freedelcastro;glutenfreevip;Flausch;gestalter;;;;
840222140644061184;AFFC DivL VI;https://sleeper.app/i/QdkDO6z2Q79N;mightyfo0l;rg87;Bappi;BreakingBrady;mucki;01capitain;mced;suunnyy6;lucas_ohne_s;raphduckdynasty;HansHansen;davilesh;;;;
